"","NGO","StartDate","EndDate","USD","Title","Details","Report","Fund","Continent","Country","SpeciesClass","isCWA","phase","More","euroContribution","euroTotal","URL","ID","Ref","Pounds","CentralWestAfrica"
"429","
                            Birdlife International                        ","2011 – 2013",NA,NA,"Les forÃªts de l'espoir","
              
        	
        				  
                  
					
                    Les forÃªts de l'espoir
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Birdlife International                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Cambodge                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2011 – 2013Birdlife lance un projet de restauration pour la préservation de 150 000 hectares de forêt dans la région de West Siem Pang, au Cambodge.Les actions menées sur le terrain visent à éduquer les populations locales pour mettre fin aux coupes illégales et au braconnage. D’autres actions sont menées au sein du gouvernement afin de déclarer cette zone comme « zone protégée ».
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.birdlife.org
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		Mac Arthur Fondation                        
                	
            	
            
            
            
            	                
                						  
							
							Â©Birdlife
													  
							
							Â©Birdlife
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=313",NA,NA,NA,FALSE
"430","
                            The Field Museum                        ","2009-2012",NA,NA,"CrÃ©ation de sites naturels durables au PÃ©rou Amazonien ","
              
        	
        				  
                  
					
                    CrÃ©ation de sites naturels durables au PÃ©rou Amazonien 
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            The Field Museum                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Amazonie                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2009-2012Ce projet a pour but de légaliser la protection de six sites péruviens qui ont été identifiés par le Field Museum comme zones capitales en termes de richesse de biodiversité.Le projet est mené en collaboration avec le gouvernement péruvien pour :- développer un cadre légal pour la protection des territoires indigènes*- convaincre les autorités de continuer les actions de compensation pour la non-déforestation, qui permettent d’investir dans les forêts encore intactes- expérimenter en grandeur réelle le mécanisme REDD
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.thefieldmuseul.org 
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		Exelon Corporation                        
                	
            	
            
            
            
            	                
                						  
							
							Â© D. Rivera
													  
							
							Â© The Field Museum, R. Foster
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=303",NA,NA,NA,FALSE
"431","
                            Global Canopy Program (GCP)                        ","",NA,NA,"Evaluation des forÃªts tropicales humides comme Ã©co-utilitÃ©s mondiales","
              
        	
        				  
                  
					
                    Evaluation des forÃªts tropicales humides comme Ã©co-utilitÃ©s mondiales
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Global Canopy Program (GCP)                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Amazonie                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   Ce projet rassemble des scientifiques, des économistes et des experts communautaires. Le but est de créer un modèle scientifique et économique de services rendus pour les écosystèmes forestiers tropicaux amazoniens.Les forêts apportent des services vitaux, fournissant des éco-utilités pour l'agriculture, améliorant le pouvoir de l’hydrologie et le bien-être humain dans la région. Le modèle permet de mieux comprendre et de mieux gérer les ressources de la forêt tropicale amazonienne.
                
                
                    
                    
                        
                        Site internet                        
                          
                            http://www.globalcanopy.org/projects/ESPA
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Subvention ESPA (Royaume-Uni)- Rufford Maurice Laing Foundation                        
                	
            	
            
            
            
            	                
                						  
							
							Â© Global Canopy Programme Mandar Trivedi
													  
							
							Â© Global Canopy Programme Mandar Trivedi
													  
							
							Â© Global Canopy Programme Mandar Trivedi
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=300",NA,NA,NA,FALSE
"432","
                            UNEP                        ","",NA,NA,"Campagne : ","
              
        	
        				  
                  
					
                    Campagne : 
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            UNEP                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Nairobi - Kenya                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   Le programme des Nations Unies pour l’environnement (PNUE) a lancé un programme autour du slogan « Plantons pour la Planète : la campagne pour un milliard d’arbres ». Cette initiative vise à encourager les citoyens de tous les pays, les communautés, les organisations et les gouvernements à s’engager à planter un certain nombre d’arbres et à enregistrer leurs contributions via le site de la campagne. L’objectif est de voir plantés au moins un milliard d’arbres à travers le monde en 2007.La campagne encourage la plantation d’arbres indigènes ou acclimatés au milieu local. Le site présente conseils et astuces pour planter un arbre et vous guide vers des associations partenaires, comme le Centre mondial de l’agroforesterie de l’ICRAF, capables d’offrir des conseils adaptés. 
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.unep.org/billiontreecampaign/french
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Plantons pour la planète- PNUE- Green Belt Movement                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
													  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=290",NA,NA,NA,FALSE
"433","
                            Fondation Biotechnologie pour le Développement Durable en Afrique (FBDA)                        ","2007- 2010",NA,NA,"Centre d'expÃ©rimentation en culture de plantes mÃ©dicinales","
              
        	
        				  
                  
					
                    Centre d'expÃ©rimentation en culture de plantes mÃ©dicinales
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Fondation Biotechnologie pour le Développement Durable en Afrique (FBDA)                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Village Kasi dans le district des Cataractes, province du Bas Congo                             
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2007- 2010La flore africaine abonde en plantes médicinales et aromatiques. Ces plantes constituent une ressource importante pour les populations locales qui les utilisent comme moyen de santé primaire. Elles sont également un moyen de subsistance quotidienne pour des millions de personnes.La création d’un centre d’expérimentation en culture de plantes médicinales permet de promouvoir et de valoriser la culture des plantes médicinales, de participer à la revitalisation de la forêt secondaire et de fournir une formation de qualité qui répond aux nouvelles normes de l’industrie.
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.fondationbda.org
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Cégep Lévis – Lauzon (Canada)- Banro Corp- Fondation Cook Guilford College USA- Weyth Pharmaceutical                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=288",NA,NA,NA,TRUE
"434","
                            Association Wayanga                        ","2010",NA,NA,"Renforcement de la culture Kayapo en Amazonie ","
              
        	
        				  
                  
					
                    Renforcement de la culture Kayapo en Amazonie 
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Association Wayanga                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Amazonie                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2010Le projet consiste à conduire différentes actions avec le soutien actif des chefs Raoni, pour conserver et transmettre les savoirs traditionnels de la culture Kayapo, en particulier :- La collecte et la diffusion des savoirs- La rédaction d’un livre des mythes et histoires- L’élaboration d’un nouveau programme scolaire adapté à la réalité Kayapo- L’équipement d’un bureau et de matériel informatique pour accéder aux informations en matière d’environnement et pour alerter l’opinion publique et le gouvernement brésilien sur les menaces qui pèsent sur le territoire des indiens Kayapo. 
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.wayanga.net
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Ville de Besançon- ING Real Estate                        
                	
            	
            
            
            
            	                
                						  
							
							Â© ONFI
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=285",NA,NA,NA,FALSE
"435","
                            The Pew Charitable Trust                        ","",NA,NA,"Campagne Internationale pour la Conservation de la forÃªt borÃ©ale","
              
        	
        				  
                  
					
                    Campagne Internationale pour la Conservation de la forÃªt borÃ©ale
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            The Pew Charitable Trust                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Canada, QuÃ©bec                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   La forêt boréale constitue un des principaux domaines forestiers de la planète, et son permafrost un énorme réservoir de stockage du CO2.L’objectif du projet est de protéger de la destruction au moins 50% de la forêt boréale du nord Québec. La campagne internationale pour la conservation de la forêt boréale plaide avec des organismes de conservation, des chefs d’entreprise et les communautés ainsi que les chefs aborigènes afin que le développement du Nord du Québec soit précédé d’une planification de la conservation, qui préserverait au moins la moitié de cette région (environ 600 000 km2) sous forme de parcs, réserves et autres zones protégées.Après plusieurs années de cette campagne, le premier ministre Charest a adopté cette approche pour le « Plan Nord ». Ce projet apportera au Québec un soutien important pour le développement du « Conseil du Nord Durable ».
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.pewtrusts.org
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- The William & Flora Hewlett Foundation- The Gordon & Betty Moore Foundation                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=273",NA,NA,NA,FALSE
"436","
                            La Fondation pour le Développement  Post conflictuel                        ","2011 – 2014",NA,NA,"OpÃ©ration de reboisement d'arbres de Santal au Timor Oriental","
              
        	
        				  
                  
					
                    OpÃ©ration de reboisement d'arbres de Santal au Timor Oriental
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            La Fondation pour le Développement  Post conflictuel                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Lifau, Disctrict of Oecussi, Timor-Leste                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2011 – 2014Création du parc de Sandalwood (12 Ha) le long de la cote Nord d’Oecussi au Timor Oriental.Le but de ce projet est de réimplanter les arbres de Santal, en voie de disparition. Il s’agit de démontrer les bienfaits de la reforestation, d’encourager le tourisme, et de créer un centre d’éducation et de discussions sur les pratiques environnementales. 
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.postconflictdev.org
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Ministère de l’éducation du Timor- Ministère de l’agriculture du Timor- Administration locale du Timor                        
                	
            	
            
            
            
            	                
                						  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=272",NA,NA,NA,FALSE
"437","
                            Tropical Forest Trust (TFT)                        ","2007-2010",NA,NA,"Centre d'Excellence Sociale des ForÃªts du Bassin du Congo","
              
        	
        				  
                  
					
                    Centre d'Excellence Sociale des ForÃªts du Bassin du Congo
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Tropical Forest Trust (TFT)                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Congo, Cameroun, Gabon, RÃ©publique Centrafricaine, RÃ©publique DÃ©mocratique du Congo et GuinÃ©e Equatoriale                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2007-2010Les forêts tropicales du bassin du Congo constituent une réserve unique de biodiversité pour la planète et stockent des millions de tonnes de carbone. 36% de la superficie de ces forêts est actuellement attribuée à l’exploitation du bois, mais seule une très faible partie est engagée dans la direction de la protection environnementale.Le Centre d‘Excellence Sociale pour les forêts du Bassin du Congo a un objectif triple : certifier 7 millions d’hectares de forêts en 2010 en impliquant 10 à 14 sociétés d’exploitation ; former environ vingt jeunes chercheurs en sciences sociales et humaines, et à la cartographie sociale ; insérer des modules de formation sur ces mêmes thèmes dans les cursus de formation des écoles forestières de l’Afrique Centrale.
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.tft-forests.org
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- LSE- Forest People Program- ITTO- Département d’anthropologie de l’UOB- Institut de Développement Rural Congo- CIFOR- Bureau régional Afrique Centrale                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=241",NA,NA,NA,TRUE
"438","
                            Act for Nature                        ","2007-2010",NA,NA,"Projet de conservation de la forÃªt primaire de Siberut","
              
        	
        				  
                  
					
                    Projet de conservation de la forÃªt primaire de Siberut
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Act for Nature                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Ãle de Siberut situÃ©e dans l'archipel des Mentawai, au large de Sumatra (IndonÃ©sie)                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2007-2010La forêt primaire tropicale et équatoriale est exploitée de façon intensive et de manière si peu contrôlée que la biodiversité des forêts de l’Asie du Sud-Est est fortement menacée. Parmi les 33 espèces de mammifères de l’île, 14 sont endémiques, ce qui représente 42 % des espèces de l’île. La recherche d’activités économiques alternatives pour les paysans qui vivent dans les derniers espaces sauvages restants est une façon de lutter contre la déforestation et également contre la pauvreté.Le SCP agit sur plusieurs fronts :- recherche et projets d’étude portant sur la biologie de la conservation de la génétique, l’éthologie et l’alimentation des primates endémiques des îles Mentawai.- conservation de la forêt avec la réalisation d’activités en collaboration avec les villageois, dans une optique de développement durable.
                
                
                    
                    
                        
                        Site internet                        
                          
                            
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Centre de Primatologie Allemand (DPZ)- Université de l’Agriculture de Bogor, Indonésie- Université Louis Pasteur, Strasbourg- Institut National Agronomique Paris-Grignon- Planète Urgence- UNESCO- Conservation International- Gouvernement Indonésien                        
                	
            	
            
            
            
            	                
                						  
							
							Â© Roland Seitre
													  
							
							Â© P.Mondielli
													  
							
							Â© P.Mondielli
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=224",NA,NA,NA,FALSE
"439","
                            Centre Scientifique de Monaco / Agence Internationale de l’Energie Atomique (AIEA)                             ","2010",NA,NA,"Workshop : ""Economie et acidification des ocÃ©ans""","
              
        	
        				  
                  
					
                    Workshop : ""Economie et acidification des ocÃ©ans""
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Centre Scientifique de Monaco / Agence Internationale de l’Energie Atomique (AIEA)                             
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		PrincipautÃ© de Monaco                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2010Organisation d’un workshop réunissant des économistes et des scientifiques afin de réfléchir aux interactions entre sciences naturelles et sciences économiques dans le contexte de l’acidification des océans.Le but de ce workshop est de développer des scénarios de coûts plausibles associés à l’acidification des océans et de proposer des recommandations pour les décideurs politiques. 
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.iaea.org - www.centrescientifique.mc
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- AIEA- Musée Océanographique de Monaco- CSM                        
                	
            	
            
            
            
            	                
                						  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=312",NA,NA,NA,FALSE
"440","
                            Georama TV Productions Ltd                         ","",NA,NA,"Film : ""Ennemi Public CO2""","
              
        	
        				  
                  
					
                    Film : ""Ennemi Public CO2""
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Georama TV Productions Ltd                         
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		France, Groenland, Alaska, Russie, Allemagne, Grande Bretagne, HawaÃ¯ et USA                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   Depuis quelques années, le CO2 suscite un énorme intérêt en raison des déséquilibres que la hausse constante des émissions de ce gaz commence à produire sur notre climat. L’augmentation du CO2, soumise à un cycle qui s’auto-alimente, atteint progressivement tout l’environnement de la planète : l’oxygène présent dans les profondeurs de l’océan est en diminution, ce qui provoque l’extinction de la vie au fond des mers.En enterrant le CO2, l’Homme a trouvé des solutions d’urgence à court terme, mais il n’a encore trouvé aucune issue à long terme.  Le film étudie le phénomène naturel et universel d’augmentation du CO2 en observant ses effets. « Ennemi Public CO2 » fait un réel état des lieux des gaz incombustible, propose des solutions aux problèmes posé par le CO2 ainsi que présente les issues les plus catastrophiques qui nous attendent si rien n’est fait.
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.carbon-the-film.com
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Ademe- Eurovision- France 3- ERT Grèce                        
                	
            	
            
            
            
            	                
                						  
							
							Â© GÃ©orama TV Productions LTD
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=295",NA,NA,NA,FALSE
"441","
                            AIEA                         ","",NA,NA,"Effets de l'acidification des ocÃ©ans sur la biodiversitÃ© de la MÃ©diterranÃ©e","
              
        	
        				  
                  
					
                    Effets de l'acidification des ocÃ©ans sur la biodiversitÃ© de la MÃ©diterranÃ©e
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            AIEA                         
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Bassin MÃ©diterranÃ©en                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   Ce projet consiste à étudier les effets de l’acidification des océans sur un écosystème naturellement acidifié. Cette approche innovante a été utilisée pour la première fois, en Méditerranée, à Ischia en Italie, sur un site volcanique d’émission de CO2 créant un gradient nature de pH acide affectant les écosystèmes benthiques.Ce projet s’intéresse aux réponses physiologiques adaptives d’organismes clés : deux gastéropodes communs, un mollusque et la plante marine. Des expériences de transplantation seront également réalisées calcification à l’aide du radioacteur 45Ca (AIEA).Les résultats permettront de mieux prédire les conséquences écologiques de l’acidification de l’eau de mer sur la biodiversité des communautés benthiques de Méditerranée.
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.iaea.org
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Marine Biology and Ecology Research Center- Laboratorio di Ecologia del Benthos- Université de Plymouth, UK                        
                	
            	
            
            
            
            	                
                						  
							
							Â© R Rodolfo Metalpa
													  
							
							 Â© R Rodolfo Metalpa
													  
							
							 Â© R Rodolfo Metalpa
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=263",NA,NA,NA,FALSE
"442","
                            Le Comité scientifique de la recherche océanique (SCOR), la Commission Océanique Intergouvernementale (COI), l'Agence Internationale de l'Énergie Atomique (AIEA)et le Programme International Géosphère-Biosphère (PIGB)                          ","Octobre 2008",NA,NA,"2Ã¨me confÃ©rence : Â« L'ocÃ©an dans un monde riche en CO2 Â»","
              
        	
        				  
                  
					
                    2Ã¨me confÃ©rence : Â« L'ocÃ©an dans un monde riche en CO2 Â»
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Le Comité scientifique de la recherche océanique (SCOR), la Commission Océanique Intergouvernementale (COI), l'Agence Internationale de l'Énergie Atomique (AIEA)et le Programme International Géosphère-Biosphère (PIGB)                          
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		PrincipautÃ© de Monaco                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   Octobre 2008L’océan absorbe approximativement 1/3 du CO2 émis dans l’atmosphère par la combustion des carburants fossiles. Cependant, ce service précieux génère un fort coût écologique - l’acidification de l’océan.Il s’agissait de fournir un forum interdisciplinaire pour mesure ce que l’on sait de l’acidification des océans et pour définir des priorités pour les recherches à venir. Elaborée à l’issue du symposium, la « déclaration de Monaco », cosignée par 155 scientifiques originaires de 26 pays, présente des recommandations pour les décideurs politiques sur les enjeux de cette problématique.
                
                
                    
                    
                        
                        Site internet                        
                          
                            http://www.iaea.org/newscenter/news/pdf/monacodecl061008.pdf
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- Laboratoire de l'Environnement Marin (LEM - AIEA)- Gouvernement de Monaco                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=227",NA,NA,NA,FALSE
"443","
                            Association « Les photographes de l’espoir »                        ","",NA,NA,"CrÃ©ation d'un centre d'Ã©ducation gÃ©nÃ©ral du cycle secondaire Ã  Mangasoavina, Madagascar","
              
        	
        				  
                  
					
                    CrÃ©ation d'un centre d'Ã©ducation gÃ©nÃ©ral du cycle secondaire Ã  Mangasoavina, Madagascar
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Association « Les photographes de l’espoir »                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Mangasoavina, Madagascar                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   Dans le cadre de la construction d’un centre d’éducation générale du cycle secondaire, outil essentiel à l’amélioration des conditions d’éducation des enfants des populations villageoises, la Fondation Prince Albert II a financé la production d’électricité par l’installation d’une éolienne et de panneaux solaires. 
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.lesphotographesdelespoir.org
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		Fondation Orange                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=329",NA,NA,NA,FALSE
"444","
                            Sunlabob Renewable Energy Ltd                        ","2011-2014",NA,NA,"Apporter l'Ã©clairage solaire et l'Ã©lectricitÃ© dans les villages isolÃ©s du Laos","
              
        	
        				  
                  
					
                    Apporter l'Ã©clairage solaire et l'Ã©lectricitÃ© dans les villages isolÃ©s du Laos
                    
                    
				  
							
              
            
            
                
                    
                    
                        
                        Porteur du projet                        
                          
                            Sunlabob Renewable Energy Ltd                        
                    
                    
                    
                        
                        Localisation                        
                        
                
                    		Laos                            
                    						
							
														  
									
															
						                    
                
                
                    Description du projet                    
                
                   2011-2014Sunlabob a mis au point un ensemble de lanternes rechargeables à l’énergie solaire. Dans chaque village, un entrepreneur recharge les lanternes portables et les fait circuler au sein des différents foyers du village en échange d’une cotisation.Le système a été conçu pour concurrencer et remplacer l’utilisation traditionnelle des lampes au kérosène. Il produit des emplois, crée des revenus et permet une meilleure implantation des micro-entreprises dans les zones déshéritées et non connectées au réseau électrique. 
                
                
                    
                    
                        
                        Site internet                        
                          
                            www.sunlabob.com/rental-system.html
                        
                    
                    
                    
                        
                        		Partenaires                        
                        
                        		- PhiTrust Active Investors- DOEN Foundation- Rockfeller Foundation                        
                	
            	
            
            
            
            	                
                						  
							
							
													  
							
							
													  
							
							
							                        
							
		      
    ",NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,"details_projet.php?idprojet=314",NA,NA,NA,FALSE
